poiuty;116.202.155.223;220000
xor;185.56.80.65;214000
thorn;51.210.34.150;200000
Unnamed;54.36.166.86;190000
sabrefang;178.63.40.189;190000
thebathingbanshee;77.243.181.86;174000
Unnamed;5.39.69.166;170000
tor1sethsimmonsme;5.9.120.18;164000
imherefortheparty;116.202.55.100;164000
Fun;5.2.69.42;161000
F3Netze;185.220.100.242;160000
brightleopard5;185.177.127.35;154000
Unnamed;93.174.95.16;150000
F3Netze;185.220.100.254;145000
ENiGMA;5.9.121.207;140000
atomcats;51.68.204.139;140000
WonderWoman42;194.109.193.142;140000
Ubermensch;51.210.80.127;136000
MIGHTYWANG;188.127.69.60;133000
quadhead;148.251.190.229;132000
